,Unnamed: 0,video_id,title,categoryId,view_count,likes,dislikes,comment_count,duration
37925,68372,mpaJorsxW7k,Hermitcraft 8: 5 - I built a TEGG BASE,Gaming,1161219,68778,402,3917,1361
38147,68778,gEOI-Ae_aaU,Version 2.0 The Immovable God and the Eternal Euthymia Trailer | Genshin Impact,Gaming,5327049,342184,939,23719,310
2978,6234,rXRQyd6_5j4,Call of Duty®: Black Ops Cold War - Multiplayer Reveal Trailer,Gaming,3709147,176624,9092,16771,198
20591,38654,p4Wy84AOzj0,"Best 3D Pen Art Wins $5,000 Challenge! | ZHC Crafts",Howto & Style,3408717,91661,2918,7224,660
10016,19755,hafxbLTr3M4,Making Charli D'Amelio A Skin Care Routine,Howto & Style,1890154,90686,2569,4457,759
13573,26085,TT4AffJJugs,Food Theory: STOP Ordering Your Pizza Like This!,Howto & Style,3319039,123130,3753,20541,939
24189,45013,BtHhKiQgdeM,KVD Good Apple Foundation… Is It Jeffree Star Approved?!,Howto & Style,1436088,61587,5546,7143,1505
5999,12433,W7ZIz4w9Edo,펜타곤(PENTAGON) - '데이지(Daisy)' Official Music Video,Music,4287165,178261,2230,30302,213
16823,31768,tBKYI3-3lMg,King Von - Armed & Dangerous (Official Video),Music,9415868,341412,4747,32500,123
3191,6674,jZH3K2KHzfk,S1mba ft. KSI - Loose [Music Video] | GRM Daily,Music,2086674,159608,4853,10373,161
10186,20083,HI3aPJkZmNU,Wolfgang Van Halen - Mammoth WVH - Distance  (OFFICIAL VIDEO),Music,2432130,59911,428,8454,293
16378,30959,lfP_5L8epow,Inside the Capitol Hill Riots,News & Politics,1903208,35422,4737,17770,219
41613,75532,GaHz3nFvFZg,Taliban spokesman tells BBC ‘no revenge’ on Afghans - BBC News,News & Politics,2083723,21003,1531,11291,253
28409,52404,euQFksgdr-8,Five months later: Woman found alive after disappearing in Diamond Fork Canyon,News & Politics,1094741,18793,492,5029,176
37446,67532,U3yBnodXI7E,Video shows fire in Gulf of Mexico after gas pipeline rupture | ABC7,News & Politics,2046891,20146,942,4216,57
28309,52256,5J3peD8LZ5o,Color the Spectrum LIVE- Mark Rober and Jimmy Kimmel,Nonprofits & Activism,3934119,225743,4133,4516,10624
44993,82681,jzptPcPLCnA,President Moon Jae-in & BTS at the Sustainable Development Goals Moment | United Nations (English),Nonprofits & Activism,2783441,331116,1675,9322,1100
27928,51594,5J3peD8LZ5o,Color the Spectrum LIVE- Mark Rober and Jimmy Kimmel,Nonprofits & Activism,2417084,186887,2492,3144,10624
44772,82204,jzptPcPLCnA,President Moon Jae-in & BTS at the Sustainable Development Goals Moment | United Nations (English),Nonprofits & Activism,2114476,282026,1049,8187,1100
36592,66053,fv2RwljroHQ,Surprising My Friends With Gifts for MY BIRTHDAY!!,People & Blogs,1150509,126953,632,17761,501
8356,16927,BpF3zZI4-40,Reviewing Old Halloween Costumes,People & Blogs,1238973,87700,360,3183,840
13988,26844,I9RC_DANDAM,Best Friends Play White Elephant | Dixie D'Amelio,People & Blogs,9378199,409663,13971,19173,846
46057,84974,8J4oty0Ey9M,POV You get an item you have to use everyday or else…,People & Blogs,4650188,474845,5666,1681,50
46954,86721,AwvyrO_yM4c,Dog Reviews Food With Son | Tucker Taste Test 22,Pets & Animals,1319990,65604,690,3366,390
19851,37341,I9253Vmf22w,Leaving My Dog Alone with a Juicy Steak,Pets & Animals,1317927,62269,811,4721,206
16276,30775,ZERtyMMCx64,Wild Horse Immediately Recognizes His Girlfriend After Years Apart | The Dodo Faith = Restored,Pets & Animals,9094409,247479,3963,11852,225
36509,65908,itEvPUCMehw,Dog Reviews Food With Little Brother | Tucker Taste Test 21,Pets & Animals,1428757,55974,686,3761,322
13097,25258,Gvvo6vUpJRc,AirPods Max Review: Luxury Listening!,Science & Technology,4520670,214110,5716,19741,925
3866,8153,O0rEsN4tn1Q,iOS 14: 8 Tips For Getting Started!,Science & Technology,1500649,20513,564,1390,226
40865,73951,t705r8ICkRw,Starbase Tour with Elon Musk [PART 1],Science & Technology,2765056,160409,1569,14198,3197
32413,59049,LLNGqLObB_g,Bulletproof Mandalorian Armor! (HACKLORIAN: Chapter 8),Science & Technology,1037721,69058,508,5119,1102
32758,59596,DvsvttXiRb8,Mayweather vs. Paul: Post-Fight Press Conference | SHOWTIME PPV,Sports,2468508,38505,1719,3407,3065
18950,35664,8MJGmDN9tXo,¡TIGRES HISTÓRICO! ¡🐯 FINALISTA! | PALMEIRAS 0-1 TIGRES | Mundial,Sports,2041810,24707,1045,7236,606
8894,17798,xBe-36v3lQo,UFC Golf Battle,Sports,3407794,229894,3427,12292,932
42534,77413,4lcGk2riyWI,CRISTIANO RONALDO SIGNS FOR MAN UTD 🚨 All the details on Ronaldo's return!,Sports,1383033,32403,743,3073,202
46201,85262,jXxwVUYhseU,I have skin cancer,Travel & Events,1104549,55957,1159,5933,754
17981,33788,JfxyakPvWvA,$150k vs. $40k SPRINTER VAN (full tour),Travel & Events,1558402,32673,1112,2659,1121
35644,64335,AmrvKLv8X30,How This Guy Cleaned A Lake!,Travel & Events,2050242,278750,1989,3164,60
37838,68236,CLUNE8OVvEw,CHANNEL UPDATE: The UNCERTAIN Future of the Best Ever Food Review Show,Travel & Events,1023123,63887,1116,5976,631
